"name","size_bytes","currency","price","review_count","rating","content_rating","primary_genre","longevity","purchase_cost","longterm_profit"
"HauntedPic","89677824","USD",0.99,"5",5.0,"9+","Entertainment",132,9900.00,"$188,100.00"
"Haunted Halloween Escape","15481361","USD",0.00,"11945",4.5,"12+","Games",120,25000,"$155,000.00"
"Coin Dozer: Haunted","162514944","USD",0.00,"704",4.5,"12+","Games",120,25000,"$155,000.00"
"Haunted Rooms: Escape VR Game for Google Cardboard","479346688","USD",0.00,"60",4.5,"12+","Games",120,25000,"$155,000.00"
"Haunted Manor 2 - The Horror behind the Mystery - FULL (Christmas Edition)","313634816","USD",2.99,"248",4.5,"12+","Games",120,29900.00,"$150,100.00"
"Haunted Legends: The Secret of Life - A Mystery Hidden Object Game (Full)","1317195776","USD",6.99,"69",4.5,"9+","Games",120,69900.00,"$110,100.00"
"Haunted Hotel: The X (Full)","1153353728","USD",6.99,"83",4.5,"9+","Games",120,69900.00,"$110,100.00"
"Haunted Hotel: Eternity - A Mystery Hidden Object Game (Full)","1133731840","USD",6.99,"77",4.5,"9+","Games",120,69900.00,"$110,100.00"
"Haunted Hotel: Phoenix - A Mystery Hidden Object Game (Full)","896477184","USD",6.99,"52",4.5,"9+","Games",120,69900.00,"$110,100.00"
