"combined (zombie only ""halloween"" key word in both apps with high ratings",,,,,,,,
name,playstore_genre,appstore_genre,combined_profit,,,,,
Zombie Catchers,Action,Games,"$438,000.00 ",,,,,
Plants vs. Zombies 2,Casual,Games,"$427,000.00 ",,,,,
Plants vs. Zombies Heroes,Casual;Action & Adventure,Games,"$427,000.00 ",,,,,
Zombie Tsunami,Arcade,Games,"$427,000.00 ",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
apple,,,,,,,,
name,review_count,rating,content_rating,primary_genre,purchase_cost,longterm_profit,,
HauntedPic,5,5,9+,Entertainment,9900,"$188,100.00 ",,
Haunted Halloween Escape,11945,4.5,12+,Games,25000,"$155,000.00 ",,
Coin Dozer: Haunted,704,4.5,12+,Games,25000,"$155,000.00 ",,
Haunted Rooms: Escape VR ,60,4.5,12+,Games,25000,"$155,000.00 ",,
Haunted Manor 2 ,248,4.5,12+,Games,29900,"$150,100.00 ",,
Haunted Legends: The Secret of Life - A Mystery Hidden Object Game (Full),69,4.5,9+,Games,69900,"$110,100.00 ",,
Haunted Hotel: The X (Full),83,4.5,9+,Games,69900,"$110,100.00 ",,
Haunted Hotel: Eternity - A Mystery Hidden Object Game (Full),77,4.5,9+,Games,69900,"$110,100.00 ",,
Haunted Hotel: Phoenix - A Mystery Hidden Object Game (Full),52,4.5,9+,Games,69900,"$110,100.00 ",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
play,,,,,,,,
name,review_count,rating,content_rating,genres,purchase_cost,longterm_profit,,
Ek Kahani Aisi Bhi Season 2 - The Horror Story,28,4.5,Teen,Entertainment,25000,"$155,000.00 ",,
Eyes - The Scary Horror Game Adventure,499483,4.4,Teen,Adventure,25000,"$155,000.00 ",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Apps with Halloween tags are usually games aimed towards kids and teens. Games for kids and teens should be a focus of the Halloween debut,,,,,,,,
,,,,,,,,
"To tap into the marketable zombie game market for halloween, we would choose the 4 zombie games from both app stores, and the Haunted Pic from the apple store. ",,,,,,,,
